300 44850
0 27 869602512
0 28 412866035
0 29 474591662
0 30 396892104
0 31 196758149
0 32 856323222
0 33 431609753
0 34 32024443
0 35 780771530
0 36 600995227
0 37 848187014
0 38 706729992
0 39 214868767
0 40 669879522
0 41 669045994
0 42 858286298
0 43 404522894
0 44 75165874
0 45 220025121
0 46 138065509
0 47 941760330
0 48 269706543
0 49 805438117
0 50 266647611
0 51 743207965
0 52 557538536
0 53 584163296
0 54 33810019
0 55 437775353
0 56 542566623
0 57 414168817
0 58 627987975
0 59 15661505
0 60 850426103
0 61 808950363
0 62 795645376
0 63 69779126
0 64 960888507
0 65 339044678
0 66 317486669
0 67 944425673
0 68 622997227
0 69 834679271
0 70 819368031
0 71 911173577
0 72 369481873
0 73 92645824
0 74 811829198
0 75 693978035
0 76 837873228
0 77 106518245
0 78 720570030
0 79 992187589
0 80 232609170
0 81 256161652
0 82 458163098
0 83 777045198
0 84 684957049
0 85 977557505
0 86 624647587
0 87 544958945
0 88 607486925
0 89 334542878
0 90 936782110
0 91 261914869
0 92 595778822
0 93 239698291
0 94 878865396
0 95 642188352
0 96 558791984
0 97 432638741
0 98 599257509
0 99 770801509
0 100 781675203
0 101 369143664
0 102 441421135
0 103 71321569
0 104 147421568
0 105 831802138
0 106 171299351
0 107 337510460
0 108 370114187
0 109 547610606
0 110 68989138
0 111 933725874
0 112 472414045
0 113 451370321
0 114 697712972
0 115 830014991
0 116 49704671
0 117 907171435
0 118 653708760
0 119 987717744
0 120 106368048
0 121 95683892
0 122 356467102
0 123 58810213
0 124 891059074
0 125 829743009
0 126 73365580
0 127 375405409
0 128 919222824
0 129 66474074
0 130 524497714
0 131 477011700
0 132 955748368
0 133 394366636
0 134 964628114
0 135 872479841
0 136 210363443
0 137 682871062
0 138 63730853
0 139 718609159
0 140 593363507
0 141 806509262
0 142 300582668
0 143 424767376
0 144 381716994
0 145 364418773
0 146 617343451
0 147 33184982
0 148 334999033
0 149 826542308
0 150 936743701
0 151 519320247
0 152 942007618
0 153 611588125
0 154 736958920
0 155 227648328
0 156 631059456
0 157 310606690
0 158 178223796
0 159 802314559
0 160 848298281
0 161 550775597
0 162 608588916
0 163 528960540
0 164 935196540
0 165 936107100
0 166 415946681
0 167 654697770
0 168 759251718
0 169 889764824
0 170 966921824
0 171 622758966
0 172 324686738
0 173 913986684
0 174 857771075
0 175 123214900
0 176 998716528
0 177 237379713
0 178 258755398
0 179 371123218
0 180 668207417
0 181 575793759
0 182 455907262
0 183 357075340
0 184 596446740
0 185 369686951
0 186 46276556
0 187 978242980
0 188 139264947
0 189 980987503
0 190 724679236
0 191 81216672
0 192 530241791
0 193 945910084
0 194 296314408
0 195 519190940
0 196 357931374
0 197 6966369
0 198 620371716
0 199 141093686
0 200 697420038
0 201 310222841
0 202 902066648
0 203 586967295
0 204 935729685
0 205 258569719
0 206 989576100
0 207 673423492
0 208 790615244
0 209 32431378
0 210 751223480
0 211 516224438
0 212 194199524
0 213 342884050
0 214 602520804
0 215 222955759
0 216 511934650
0 217 223254630
0 218 987048573
0 219 522353253
0 220 450217843
0 221 773657042
0 222 407550524
0 223 49827797
0 224 443782076
0 225 600218994
0 226 66439083
0 227 278557981
0 228 492402661
0 229 512101443
0 230 186468861
0 231 19011004
0 232 359052841
0 233 98699841
0 234 742997906
0 235 813327392
0 236 353529499
0 237 756828424
0 238 228029081
0 239 281141086
0 240 535396099
0 241 540078705
0 242 351058902
0 243 63938140
0 244 853671228
0 245 898872948
0 246 970690794
0 247 207777659
0 248 46553290
0 249 306592875
0 250 797277435
0 251 398630183
0 252 534937126
0 253 888713961
0 254 865912286
0 255 703225781
0 256 248619144
0 257 626782872
0 258 171278892
0 259 474011968
0 260 353390118
0 261 730622153
0 262 916870211
0 263 810922462
0 264 169644953
0 265 670519242
0 266 87753888
0 267 286084164
0 268 864041247
0 269 400024892
0 270 102281617
0 271 257187450
0 272 357567556
0 273 888413803
0 274 641051848
0 275 349200681
0 276 184993981
0 277 789346671
0 278 320540202
0 279 630766773
0 280 857325934
0 281 841685914
0 282 488934909
0 283 891106122
0 284 905382312
0 285 844471193
0 286 278014069
0 287 307418716
0 288 343855602
0 289 813504997
0 290 510942936
0 291 221537773
0 292 362538335
0 293 398676430
0 294 301962981
0 295 409248714
0 296 736321900
0 297 764351945
0 298 413250655
0 299 398980230
1 3 174073138
1 4 840406469
1 5 889589700
1 6 257929158
1 7 279622069
1 8 159458680
1 9 692287752
1 10 447068632
1 11 8122113
1 12 934879469
1 13 93382080
1 14 58575644
1 15 679787757
1 16 181095486
1 17 934274481
1 18 196237192
1 19 980302621
1 20 624841722
1 21 629564659
1 22 97509483
1 23 615083279
1 24 908357077
1 25 688640771
1 26 677932901
1 27 40561759
1 28 472466606
1 29 34322175
1 30 85037338
1 31 40971587
1 32 353298413
1 33 846166291
1 34 296476410
1 35 326349593
1 36 670725240
1 37 218432298
1 38 732591925
1 39 153772317
1 40 581112628
1 41 372015172
1 42 438548464
1 43 536031300
1 44 769637540
1 45 17929019
1 46 190193084
1 47 355778139
1 48 916110266
1 49 839940600
1 50 665878477
1 51 527657932
1 52 596873870
1 53 157956891
1 54 486092251
1 55 536067154
1 56 106321255
1 57 798910205
1 58 625728624
1 59 531077665
1 60 532017373
1 61 387676268
1 62 620016774
1 63 631053460
1 64 674486979
1 65 295820451
1 66 174113276
1 67 466891117
1 68 273091175
1 69 610731005
1 70 27751380
1 71 129101408
1 72 968325484
1 73 702097292
1 74 919057298
1 75 878259122
1 76 888745239
1 77 639886716
1 78 477382619
1 79 585527400
1 80 300636455
1 81 506782191
1 82 779147702
1 83 677787135
1 84 554410202
1 85 419755742
1 86 848887171
1 87 688547338
1 88 423281975
1 89 632024431
1 90 896941566
1 91 76945706
1 92 280074113
1 93 599662361
1 94 583752357
1 95 673307625
1 96 657246080
1 97 337070908
1 98 92466083
1 99 543042739
1 100 685433192
1 101 747141315
1 102 298791846
1 103 260646018
1 104 647940549
1 105 811547143
1 106 661439951
1 107 994067683
1 108 398373520
1 109 567610433
1 110 1877255
1 111 898148032
1 112 652159347
1 113 655987643
1 114 480189007
1 115 957609239
1 116 911339785
1 117 345246563
1 118 380529470
1 119 9390736
1 120 934192300
1 121 898236595
1 122 870490101
1 123 571400830
1 124 109505334
1 125 409180207
1 126 560179615
1 127 721472418
1 128 808498459
1 129 450144102
1 130 386717022
1 131 879760298
1 132 705962171
1 133 923832052
1 134 164171871
1 135 212154908
1 136 759901580
1 137 337345454
1 138 668076615
1 139 62148208
1 140 254905102
1 141 824061100
1 142 615413375
1 143 267376959
1 144 21730294
1 145 176568435
1 146 425615512
1 147 350274807
1 148 57981372
1 149 573071163
1 150 259265553
1 151 349249093
1 152 486217242
1 153 194592821
1 154 507506077
1 155 270363388
1 156 971408668
1 157 632922214
1 158 786190160
1 159 106113261
1 160 463639205
1 161 525741055
1 162 134115581
1 163 133385366
1 164 87196210
1 165 331885094
1 166 437132039
1 167 918123586
1 168 136756472
1 169 59906887
1 170 544325230
1 171 581561337
1 172 126861670
1 173 20589236
1 174 964566403
1 175 602343193
1 176 624270650
1 177 810029089
1 178 836506560
1 179 38456106
1 180 926906940
1 181 831377756
1 182 834979491
1 183 891766527
1 184 482273836
1 185 585005478
1 186 524914071
1 187 241242129
1 188 237531374
1 189 193576120
1 190 887334321
1 191 409089645
1 192 643201270
1 193 1330417
1 194 432851463
1 195 699921864
1 196 942242638
1 197 977737426
1 198 161070853
1 199 863398300
1 200 271304736
1 201 874401229
1 202 240809205
1 203 552741758
1 204 893158781
1 205 859950569
1 206 865912363
1 207 823934617
1 208 144540944
1 209 989901381
1 210 400810290
1 211 420547645
1 212 413764493
1 213 642659034
1 214 747449171
1 215 651025097
1 216 157866333
1 217 450948757
1 218 699361045
1 219 667876128
1 220 324861436
1 221 820079070
1 222 6386518
1 223 417087511
1 224 528103029
1 225 384014416
1 226 406815220
1 227 86046101
1 228 495720945
1 229 540809337
1 230 889193773
1 231 210833627
1 232 196840793
1 233 820612381
1 234 866991721
1 235 783913338
1 236 143319618
1 237 522090512
1 238 410601257
1 239 42612778
1 240 992683736
1 241 208176610
1 242 594176392
1 243 247542492
1 244 230161960
1 245 693010665
1 246 823730303
1 247 651052133
1 248 754792050
1 249 389773932
1 250 276716022
1 251 643392171
1 252 96482645
1 253 873931232
1 254 355191772
1 255 169065488
1 256 846199957
1 257 304261025
1 258 164003051
1 259 137259960
1 260 999276708
1 261 362813885
1 262 617759541
1 263 524341875
1 264 199229553
1 265 945299452
1 266 420052479
1 267 975310617
1 268 96619267
1 269 754274497
1 270 335223195
1 271 246526418
1 272 56646926
1 273 41810472
1 274 623340166
1 275 30769878
1 276 817732269
1 277 21881859
1 278 288607602
1 279 975682267
1 280 991890739
1 281 492934418
1 282 867792638
1 283 554956029
1 284 108442539
1 285 887394355
1 286 228289888
1 287 233670138
1 288 871816040
1 289 304769803
1 290 435792823
1 291 317673005
1 292 64265820
1 293 318072804
1 294 744991416
1 295 506107188
1 296 998659515
1 297 424240616
1 298 945226771
1 299 933926371
2 4 64720015
2 5 908610364
2 6 81529030
2 7 329431662
2 8 967390424
2 9 351548990
2 10 777490789
2 11 949224245
2 12 690669916
2 13 259730336
2 14 211041882
2 15 382398733
2 16 550657703
2 17 219427478
2 18 180861458
2 19 77230902
2 20 38580191
2 21 413987742
2 22 464731068
2 23 927849369
2 24 107400232
2 25 871415340
2 26 949357016
2 27 190422610
2 28 344797847
2 29 578598955
2 30 552423635
2 31 160579107
2 32 463587005
2 33 147476412
2 34 245732815
2 35 217474121
2 36 289420457
2 37 327750735
2 38 843779178
2 39 539486533
2 40 35808726
2 41 289360986
2 42 934788485
2 43 651773475
2 44 360933801
2 45 935923398
2 46 226141584
2 47 222221582
2 48 307145083
2 49 745927844
2 50 164002173
2 51 862098226
2 52 979568343
2 53 361392195
2 54 986243509
2 55 976703316
2 56 274844803
2 57 83779214
2 58 248034063
2 59 811150937
2 60 846981244
2 61 382339678
2 62 356427006
2 63 194184116
2 64 158420185
2 65 179836055
2 66 711724561
2 67 70311878
2 68 527291306
2 69 306535162
2 70 968265937
2 71 675444373
2 72 777711980
2 73 177363075
2 74 199719094
2 75 567011264
2 76 383267224
2 77 388511332
2 78 565973275
2 79 145999297
2 80 382030994
2 81 169973381
2 82 43018719
2 83 583644336
2 84 859565968
2 85 659711480
2 86 166575323
2 87 975273116
2 88 630216062
2 89 162329691
2 90 181112314
2 91 177187308
2 92 232127050
2 93 607051197
2 94 749071513
2 95 352393571
2 96 669063625
2 97 443612299
2 98 379325371
2 99 450035385
2 100 347850837
2 101 226934576
2 102 205436915
2 103 297530066
2 104 446570047
2 105 136378688
2 106 762294257
2 107 912225406
2 108 126371821
2 109 31936642
2 110 273652015
2 111 351134893
2 112 512121935
2 113 850261334
2 114 908609736
2 115 886419455
2 116 217519125
2 117 42064987
2 118 357393412
2 119 571499230
2 120 404453781
2 121 323241364
2 122 12049943
2 123 899235567
2 124 347242979
2 125 650478721
2 126 753827682
2 127 524926422
2 128 109169271
2 129 483619486
2 130 971275165
2 131 770316677
2 132 316817630
2 133 22572493
2 134 748526246
2 135 873845817
2 136 42860233
2 137 283842143
2 138 187122050
2 139 834219424
2 140 435632392
2 141 377459896
2 142 201425760
2 143 474113520
2 144 695324653
2 145 767200832
2 146 206702267
2 147 603302259
2 148 181082767
2 149 61730612
2 150 263589679
2 151 249479349
2 152 207978684
2 153 87397423
2 154 481211310
2 155 409568264
2 156 357586534
2 157 304415650
2 158 478407970
2 159 322946492
2 160 907032658
2 161 935985504
2 162 410035016
2 163 61463035
2 164 596763271
2 165 712498479
2 166 966122729
2 167 795424660
2 168 997500400
2 169 243967945
2 170 506836165
2 171 861542669
2 172 632747823
2 173 539117175
2 174 736748749
2 175 700727233
2 176 877235300
2 177 895033213
2 178 848841468
2 179 440850798
2 180 99608928
2 181 383885273
2 182 166255076
2 183 257561251
2 184 806295433
2 185 579898688
2 186 656245844
2 187 989465030
2 188 37076497
2 189 792267975
2 190 823492348
2 191 21997640
2 192 979473258
2 193 643177555
2 194 673049230
2 195 865492067
2 196 293397956
2 197 559421481
2 198 923866947
2 199 938128835
2 200 971776911
2 201 317638513
2 202 176722054
2 203 927154394
2 204 941551883
2 205 476572241
2 206 874660515
2 207 292907579
2 208 235252713
2 209 518476087
2 210 859509682
2 211 909203385
2 212 316865397
2 213 660170257
2 214 259927770
2 215 253112939
2 216 391728337
2 217 811027809
2 218 996297652
2 219 136002670
2 220 499417178
2 221 911528286
2 222 114623656
2 223 923796452
2 224 885655674
2 225 586495030
2 226 622406797
2 227 589767494
2 228 721951402
2 229 571873930
2 230 595972781
2 231 124379824
2 232 755090441
2 233 797957016
2 234 50598248
2 235 261951281
2 236 688322953
2 237 884880104
2 238 520218718
2 239 659845469
2 240 403271379
2 241 962120563
2 242 980079161
2 243 653560527
2 244 577083064
2 245 728135381
2 246 618722633
2 247 653085721
2 248 334032971
2 249 230332167
2 250 108770785
2 251 452787127
2 252 443538311
2 253 668279446
2 254 996984733
2 255 927655436
2 256 879713908
2 257 768917096
2 258 355454350
2 259 388563902
2 260 256220932
2 261 518779303
2 262 44396797
2 263 124596378
2 264 367380341
2 265 244573071
2 266 229763999
2 267 578184929
2 268 683030005
2 269 580983147
2 270 329189912
2 271 109155583
2 272 411639180
2 273 500917492
2 274 566583615
2 275 882381652
2 276 613221287
2 277 333629437
2 278 881159057
2 279 316452489
2 280 457799249
2 281 57057234
2 282 205528906
2 283 279042468
2 284 103762349
2 285 163887984
2 286 589734445
2 287 442187231
2 288 287810492
2 289 867811407
2 290 789022211
2 291 75605351
2 292 601736691
2 293 768399537
2 294 562284221
2 295 834892535
2 296 675535283
2 297 652489677
2 298 457018876
2 299 289619008
3 5 326710791
3 6 966468062
3 7 384264567
3 8 660264082
3 9 465182018
3 10 17214453
3 11 297639728
3 12 378352713
3 13 219574152
3 14 190316584
3 15 445192662
3 16 826181226
3 17 619199285
3 18 884099045
3 19 476425877
3 20 569165398
3 21 932620447
3 22 550895666
3 23 553763090
3 24 908483942
3 25 813517815
3 26 900672014
3 27 369672418
3 28 912066247
3 29 569627300
3 30 725255546
3 31 348075462
3 32 292097385
3 33 321177872
3 34 760388453
3 35 818046242
3 36 214334549
3 37 438852266
3 38 618925697
3 39 913780373
3 40 243503285
3 41 984793948
3 42 714426761
3 43 263471886
3 44 371529276
3 45 740806814
3 46 633723222
3 47 183186936
3 48 405568536
3 49 10933700
3 50 361418684
3 51 240112728
3 52 487046457
3 53 982416170
3 54 423478816
3 55 67247640
3 56 124693288
3 57 96233545
3 58 726014006
3 59 623338766
3 60 740649591
3 61 294126987
3 62 728674861
3 63 821735759
3 64 467366814
3 65 173454900
3 66 306874661
3 67 262490602
3 68 908795965
3 69 563918017
3 70 904829735
3 71 807710795
3 72 561038457
3 73 36143878
3 74 266597676
3 75 976901194
3 76 296118829
3 77 260173621
3 78 487465173
3 79 954463157
3 80 250035682
3 81 52850511
3 82 493893634
3 83 565710110
3 84 423746808
3 85 392774426
3 86 207926042
3 87 700013574
3 88 292088267
3 89 789498176
3 90 76498635
3 91 237924049
3 92 78120512
3 93 592818900
3 94 226774904
3 95 544160538
3 96 639023804
3 97 964862215
3 98 161279644
3 99 896251214
3 100 117365755
3 101 852091725
3 102 267887325
3 103 429431698
3 104 718299304
3 105 369601805
3 106 487226764
3 107 503843665
3 108 997620598
3 109 96769152
3 110 923821843
3 111 325698219
3 112 872201268
3 113 192479057
3 114 453023025
3 115 609247904
3 116 13495545
3 117 833182000
3 118 557951074
3 119 796333839
3 120 866249204
3 121 36839952
3 122 835903713
3 123 667585629
3 124 821607670
3 125 388745589
3 126 971868912
3 127 222465030
3 128 991795309
3 129 159771183
3 130 282799342
3 131 967781059
3 132 237404886
3 133 916914119
3 134 812782777
3 135 600268089
3 136 578850240
3 137 429864417
3 138 557526624
3 139 293483887
3 140 32005205
3 141 892780308
3 142 305093036
3 143 259441598
3 144 808889349
3 145 840716723
3 146 551327334
3 147 151570970
3 148 987292882
3 149 314889672
3 150 288576607
3 151 918474234
3 152 546450550
3 153 415299486
3 154 808944530
3 155 323169942
3 156 162583298
3 157 4843622
3 158 742420987
3 159 157644204
3 160 744437390
3 161 907453434
3 162 616483829
3 163 277376631
3 164 729575468
3 165 629718226
3 166 59178490
3 167 316735034
3 168 148865805
3 169 800394325
3 170 777486561
3 171 485464120
3 172 875635325
3 173 427786523
3 174 20004819
3 175 9118386
3 176 607098241
3 177 465350615
3 178 154602974
3 179 157369600
3 180 256662008
3 181 242726330
3 182 26346831
3 183 27037677
3 184 536983709
3 185 874952453
3 186 654728891
3 187 529375549
3 188 150926789
3 189 572682868
3 190 43596717
3 191 324316439
3 192 867101537
3 193 778869971
3 194 838226774
3 195 821626648
3 196 148270955
3 197 556646973
3 198 986206250
3 199 983192730
3 200 595873623
3 201 181084726
3 202 819538733
3 203 801269380
3 204 19080322
3 205 990002081
3 206 915052060
3 207 499691875
3 208 416344855
3 209 194800114
3 210 984835100
3 211 296636965
3 212 483297409
3 213 744669284
3 214 816479290
3 215 970940402
3 216 328648169
3 217 973184029
3 218 786220357
3 219 499601974
3 220 163878033
3 221 388578231
3 222 288553166
3 223 697284094
3 224 773917116
3 225 660781598
3 226 523603590
3 227 960272414
3 228 763827473
3 229 109405430
3 230 592552979
3 231 921793383
3 232 859990463
3 233 500037011
3 234 776622264
3 235 908777587
3 236 893046015
3 237 240342958
3 238 544705996
3 239 262828517
3 240 458209867
3 241 130378497
3 242 926103045
3 243 139744341
3 244 730116594
3 245 516885679
3 246 392931781
3 247 432541314
3 248 703292914
3 249 792971434
3 250 165585266
3 251 7245233
3 252 19969242
3 253 33952160
3 254 755183675
3 255 609086106
3 256 736845308
3 257 803583706
3 258 183875608
3 259 811459487
3 260 655139676
3 261 36910238
3 262 776423774
3 263 827564415
3 264 563823867
3 265 870898473
3 266 788529585
3 267 174503004
3 268 731909039
3 269 254022124
3 270 55259477
3 271 821009695
3 272 63797396
3 273 851080122
3 274 562410491
3 275 122277778
3 276 58645983
3 277 7564732
3 278 222581692
3 279 63569955
3 280 86492990
3 281 936174636
3 282 91769858
3 283 31752307
3 284 710220211
3 285 492216853
3 286 842062800
3 287 539224869
3 288 578111399
3 289 181806195
3 290 337690484
3 291 949187961
3 292 736231986
3 293 355269968
3 294 459152623
3 295 544400264
3 296 263924666
3 297 699925201
3 298 206241572
3 299 465169277
4 6 318701630
4 7 115356566
4 8 566862569
4 9 879042201
4 10 848007029
4 11 213885909
4 12 921293956
4 13 433739071
4 14 70563643
4 15 60310143
4 16 67283906
4 17 886093227
4 18 382510633
4 19 718475066
4 20 126961906
4 21 838003735
4 22 375080199
4 23 751904503
4 24 893813640
4 25 969316792
4 26 903744654
4 27 311751165
4 28 49811182
4 29 145674991
4 30 999793281
4 31 210761528
4 32 750504770
4 33 762322763
4 34 983412846
4 35 609446939
4 36 738787773
4 37 689808757
4 38 884618554
4 39 741783088
4 40 967007425
4 41 937878912
4 42 261314475
4 43 665385650
4 44 655687819
4 45 644060126
4 46 559673162
4 47 689691287
4 48 230113716
4 49 820505958
4 50 723657103
4 51 570319791
4 52 34453799
4 53 627661923
4 54 197830775
4 55 586858801
4 56 132826207
4 57 394215683
4 58 985770080
4 59 639064920
4 60 986886247
4 61 772860155
4 62 109146622
4 63 441321101
4 64 508156823
4 65 577328837
4 66 290714889
4 67 133513678
4 68 965108248
4 69 84888736
4 70 625447866
4 71 8379836
4 72 827578640
4 73 359025209
4 74 111853338
4 75 809158547
4 76 499480420
4 77 120567381
4 78 112975501
4 79 596842336
4 80 994903894
4 81 222114234
4 82 879578058
4 83 151970257
4 84 549736662
4 85 325308552
4 86 533190122
4 87 121049795
4 88 43722608
4 89 183223699
4 90 74672059
4 91 857391183
4 92 283118591
4 93 54210313
4 94 521040782
4 95 207599067
4 96 301917036
4 97 365012540
4 98 514719345
4 99 498287397
4 100 320694179
4 101 571540088
4 102 12937538
4 103 927467900
4 104 22484541
4 105 581919980
4 106 182702334
4 107 110796227
4 108 721813624
4 109 826393802
4 110 613788389
4 111 309993011
4 112 165293738
4 113 179299574
4 114 643780588
4 115 604650041
4 116 463615822
4 117 514004197
4 118 962426778
4 119 875205909
4 120 612376054
4 121 264885282
4 122 721409727
4 123 800352331
4 124 100534913
4 125 620661605
4 126 318547884
4 127 450469436
4 128 373130361
4 129 808659317
4 130 615783319
4 131 269557235
4 132 547802088
4 133 942411798
4 134 367460017
4 135 786241786
4 136 488585074
4 137 105016899
4 138 132480483
4 139 565374130
4 140 649483163
4 141 700586611
4 142 645590276
4 143 185918667
4 144 703076803
4 145 864346278
4 146 341755560
4 147 231393026
4 148 430429259
4 149 34407880
4 150 82968776
4 151 919117062
4 152 793865764
4 153 463182889
4 154 653296512
4 155 586638518
4 156 297321215
4 157 927234926
4 158 854682135
4 159 94456518
4 160 128657942
4 161 75760949
4 162 468505568
4 163 606784928
4 164 381360350
4 165 334343076
4 166 636803132
4 167 319271952
4 168 215575685
4 169 5075374
4 170 92791657
4 171 26180129
4 172 101646900
4 173 77004682
4 174 888048901
4 175 661887288
4 176 470808252
4 177 818055593
4 178 459174976
4 179 68557254
4 180 534807776
4 181 794324314
4 182 312158331
4 183 51610658
4 184 668558786
4 185 304513763
4 186 746203343
4 187 812648444
4 188 130085511
4 189 934673390
4 190 453874952
4 191 559859063
4 192 199327950
4 193 509525455
4 194 828030835
4 195 179260657
4 196 146203081
4 197 832922179
4 198 150612412
4 199 966084571
4 200 944769078
4 201 743314144
4 202 372961018
4 203 222121741
4 204 456255752
4 205 152307362
4 206 6087889
4 207 121408790
4 208 39795950
4 209 470117451
4 210 936500981
4 211 192208736
4 212 594059129
4 213 42929435
4 214 63591959
4 215 860321288
4 216 738871906
4 217 822579914
4 218 948416827
4 219 595510320
4 220 28148723
4 221 930684107
4 222 416631145
4 223 581850714
4 224 494478068
4 225 923161591
4 226 347595663
4 227 211344559
4 228 640481043
4 229 334338350
4 230 824698793
4 231 102098194
4 232 807848912
4 233 329534058
4 234 143568302
4 235 658310413
4 236 749811835
4 237 184584737
4 238 278015444
4 239 904322560
4 240 221581616
4 241 262351921
4 242 253736413
4 243 937461591
4 244 130602260
4 245 378648191
4 246 698730257
4 247 716767054
4 248 670312263
4 249 598357296
4 250 872925943
4 251 805832697
4 252 199624920
4 253 438126679
4 254 126381076
4 255 54148793
4 256 132795911
4 257 426386332
4 258 951413905
4 259 455780434
4 260 515968905
4 261 64657836
4 262 85504944
4 263 432755799
4 264 186732628
4 265 362622776
4 266 136472358
4 267 22109824
4 268 783142966
